BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
only,solid viscose womens cropped top - pink,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1799.0,1079.0,0.4,Westernwear
life,printed viscose wide neck womens a-line dress - sage,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1499.0,749.0,0.5,Westernwear
life,embroidered blended round neck womens top - natural,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1199.0,599.0,0.5,Westernwear
latin quarters,printed v neck polyester womens regular fit dresses - peach,"['S', 'M', 'L', 'XL']",2699.0,1889.0,0.3,Westernwear
rare,solid polyester mandarin womens regular top - green,"['Medium', 'Small']",1299.0,519.0,0.6,Westernwear
latin quarters,dyed rayon blend womens casual wear shrug - peach,"['S', 'M', 'L', 'XL', 'XX-Large']",1399.0,699.0,0.5,Westernwear
life,solid denim collar neck womens denim jacket - mid stone,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",1899.0,949.0,0.5,Westernwear
rare,solid crepe tie up neck�womens regular top - grey,"['Large', 'Medium']",1399.0,559.0,0.6,Westernwear
zink london,floral polyester round neck womens short dress - blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",2199.0,1319.0,0.4,Westernwear
rare,solid crepe round neck womens regular top - maroon,['Small'],1099.0,549.0,0.5,Westernwear
allen solly,printed round neck rayon womens fit and flare dress - red,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",2499.0,1499.0,0.4,Westernwear
life,regular fit regular length cotton lycra womens jeans - dk indigo,"['26', '28', '30', '32', '36']",999.0,499.0,0.5,Westernwear
rare,solid crepe round neck womens regular top - maroon,"['Large', 'Medium', 'Small', 'X-Large']",999.0,499.0,0.5,Westernwear
rare,floral crepe round neck womens flared dress - cream,"['Large', 'Small', 'X-Large']",1599.0,719.0,0.55,Westernwear
life,womens viscose collar checks shirts - orange,"['Small', 'X-Small']",899.0,449.0,0.5,Westernwear
rare,solid modal round neck womens regular top - mustard,['X-Large'],1499.0,599.0,0.6,Westernwear
van heusen,textured polyester round neck womens jacket - navy,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",3499.0,1499.0,0.57,Westernwear
life,printed jersey round neck womens t-shirt - blue,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
rare,solid polyester boat neck womens regular top - maroon,"['Large', 'Medium', 'Small', 'X-Large']",1499.0,599.0,0.6,Westernwear
life,solid viscose blend round neck womens t-shirt - orange,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small']",699.0,349.0,0.5,Westernwear
stop,printed regular neck chambray womens formal shirt - blue,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",899.0,449.0,0.5,Westernwear
madame,solid georgette square neck womens regular top - mint,"['Large', 'Medium', 'Small', 'X-Large', 'XX-Large']",1699.0,849.0,0.5,Westernwear
rare,floral georgette round neck womens flared dress - black,"['Large', 'Medium', 'Small', 'X-Large']",1899.0,854.0,0.55,Westernwear
rare,solid polyester blend sweetheart neck womens bodycon dress - green,"['Large', 'Medium', 'X-Large']",2399.0,1079.0,0.55,Westernwear
zink london,textured polyester boat neck womens dress - black,"['Large', 'Medium', 'Small', 'X-Large', 'X-Small', 'XX-Large']",2699.0,1619.0,0.4,Westernwear
